date,symbol,open,high,low,PX,DAX,WIG,ATX,UKX,LUXX,AEX,CAC,SMI,MAIN,SX5E,MSCI,EURCZK,EURPLN
2015-07-14,PSECZ:PX,1001.42,1004.94,998.53003,1003.39,11516.9,52700.219,2506.72,6753.75,1671.204,493.84,49.799999,9311.0703,57.349998,3607.1899,64.51,27.05691,4.13003
2015-07-15,PSECZ:PX,1003.76,1011.28,1003.76,1011.1,11539.66,52764.781,2498.45,6753.75,1661.844,497.13,49.935001,9319.25,57.849998,3623.8701,64.81,27.09143,4.11262
2015-07-16,PSECZ:PX,1010.74,1027.14,1010.74,1027.14,11716.76,53588.238,2532.1399,6796.4502,1666.6479,501.01001,50.615002,9458.96,57.470001,3676.4099,66.24,27.05718,4.10654
2015-07-20,PSECZ:PX,1024.9301,1033.09,1022.7,1030.1801,11735.72,52753.801,2552.3101,6788.6899,1657.951,502.07999,50.744999,9482.6201,57.130001,3686.5801,66.36,27.11684,4.1353
2015-07-21,PSECZ:PX,1030.33,1037.55,1029.89,1037.51,11604.8,52839.41,2541.51,6769.0698,1665.6071,498.76001,50.400002,9385.4502,56.990002,3647.96,66.3,27.03936,4.11699
2015-07-22,PSECZ:PX,1037.8101,1042.99,1033.72,1036.4301,11520.67,51698.051,2521.6101,6667.3398,1658.465,496.12,50.224998,9289.2598,56.709999,3635.5801,66.49,27.0366,4.12042
2015-07-23,PSECZ:PX,1036.29,1039.3,1027.98,1029.9301,11512.11,51986.219,2524.3101,6655.0098,1657.1,496.35001,50.205002,9381.5703,56.470001,3634.6399,66.55,27.03254,4.1437
2015-07-27,PSECZ:PX,1030.83,1030.83,1021.02,1025.9399,11056.4,51738.859,2455.53,6505.1299,1588.192,481.51999,48.75,9194.4805,56.669998,3513.1001,65.73,27.02326,4.1179
2015-07-28,PSECZ:PX,1025.27,1035.0699,1023.48,1028.47,11173.91,51906.91,2480.24,6555.2798,1592.403,485.76999,49.209999,9275.7197,55.84,3554.1101,66.0,27.1014,4.12663
2015-07-29,PSECZ:PX,1028.48,1034.98,1026.4301,1026.55,11211.85,52288.102,2481.98,6631.0,1611.822,489.29001,49.625,9387.9697,56.330002,3575.53,66.91,27.05478,4.14338
2015-07-30,PSECZ:PX,1026.55,1035.76,1023.28,1030.6899,11257.15,52011.809,2481.28,6668.8701,1608.787,495.17001,49.915001,9397.6904,55.849998,3583.79,67.97,27.07432,4.14128
2015-08-03,PSECZ:PX,1031.47,1041.89,1029.8199,1040.97,11443.72,52808.18,2499.4399,6688.6201,1604.458,500.42999,50.615002,9468.9697,56.389999,3635.3999,67.54,27.04893,4.18111
2015-08-04,PSECZ:PX,1038.4,1041.08,1034.34,1036.75,11456.07,52941.879,2489.76,6686.5698,1604.491,500.01999,50.52,9480.2002,58.43,3619.3101,66.96,27.03422,4.17532
2015-08-05,PSECZ:PX,1037.1801,1041.9301,1034.1,1035.0601,11636.3,53694.879,2501.76,6752.4102,1634.92,503.48001,51.290001,9526.79,59.0,3676.75,67.6,27.02486,4.1908
2015-08-06,PSECZ:PX,1034.99,1040.92,1034.2,1034.7,11585.1,52418.07,2481.73,6747.0898,1642.816,501.23001,51.25,9457.9902,59.07,3668.47,66.51,27.03534,4.18412
2015-08-10,PSECZ:PX,1032.96,1038.91,1032.54,1037.8199,11604.78,52931.391,2497.01,6736.2202,1658.547,500.04001,51.32,9510.7803,58.580002,3674.9399,66.79,27.02384,4.19476
2015-08-11,PSECZ:PX,1038.01,1042.64,1035.1,1037.4,11293.65,52934.34,2468.47,6664.54,1611.429,494.35999,50.400002,9424.4102,58.549999,3605.28,65.55,27.02282,4.18606
2015-08-12,PSECZ:PX,1037.25,1037.25,1021.68,1022.48,10924.61,52554.93,2414.3701,6571.1899,1579.541,477.42001,48.689999,9183.8799,58.580002,3484.4099,63.95,27.02058,4.1785
2015-08-13,PSECZ:PX,1024.72,1035.2,1024.72,1027.53,11014.63,52995.961,2452.8401,6568.3301,1593.847,476.98999,49.27,9325.21,59.080002,3516.1499,63.4,27.0213,4.18166
2015-08-17,PSECZ:PX,1025.25,1031.6,1022.23,1022.79,10940.33,52072.059,2450.73,6550.2998,1589.363,474.29999,49.255001,9390.46,58.549999,3497.8999,64.45,27.02866,4.16362
2015-08-18,PSECZ:PX,1023.28,1024.4301,1017.88,1021.21,10915.92,51933.371,2462.1599,6526.29,1567.01,479.01001,49.119999,9383.5996,58.049999,3495.3799,64.42,27.02628,4.17759
2015-08-19,PSECZ:PX,1021.38,1022.79,1016.79,1020.17,10682.15,52452.859,2443.71,6403.4502,1562.209,469.23999,48.259998,9251.5996,57.560001,3429.8401,64.28,27.02114,4.18916
2015-08-20,PSECZ:PX,1020.35,1020.84,1001.21,1001.82,10432.19,52508.32,2395.1201,6367.8901,1540.676,459.17001,47.279999,9104.71,57.540001,3353.48,62.74,27.02433,4.22831
2015-08-24,PSECZ:PX,990.01001,990.01001,935.59998,946.34003,9648.43,48916.602,2207.6899,5898.8701,1405.743,419.67999,43.299999,8468.8896,57.759998,3073.3899,58.18,27.06038,4.25182
2015-08-25,PSECZ:PX,946.52002,993.96997,946.02002,989.62,10128.12,49372.328,2287.7,6081.3398,1452.11,436.67999,45.139999,8758.79,57.360001,3218.01,57.78,27.13986,4.23139
2015-08-26,PSECZ:PX,989.62,993.71997,978.40002,984.84998,9997.43,49318.578,2266.6699,5979.2002,1439.967,428.73001,44.535,8548.75,57.349998,3170.73,60.14,27.07293,4.23299
2015-08-27,PSECZ:PX,985.02002,1008.68,985.02002,1007.91,10315.62,50366.09,2349.45,6192.0298,1476.564,443.35999,46.055,8812.5801,57.639999,3280.78,61.65,27.02818,4.21416
2015-09-01,PSECZ:PX,1024.34,1024.34,996.29999,997.03003,10015.57,50292.199,2278.1101,6058.54,1476.313,433.53,44.875,8621.2695,57.669998,3188.73,58.56,27.02828,4.23565
2015-09-02,PSECZ:PX,997.03003,1006.82,996.88,1001.86,10048.05,50135.969,2261.8201,6083.3101,1447.993,433.56,45.049999,8626.3398,57.27,3198.8601,59.89,27.02254,4.21436
2015-09-03,PSECZ:PX,1001.86,1013.96,1001.57,1011.39,10317.84,50977.059,2303.6699,6194.1001,1468.272,444.54999,45.970001,8775.6396,57.639999,3270.0901,59.67,27.02503,4.22928
2015-09-08,PSECZ:PX,991.62,1001.93,991.62,1000.66,10271.36,50644.699,2282.8701,6146.1001,1464.25,439.48001,45.465,8760.9502,57.009998,3233.8401,60.92,27.05839,4.21416
2015-09-09,PSECZ:PX,1001.19,1013.19,1001.19,1008.59,10303.12,50806.621,2298.27,6229.0098,1481.097,444.26001,46.119999,8871.9199,57.41,3269.98,60.09,27.04963,4.21198
2015-09-10,PSECZ:PX,1008.26,1008.26,994.96002,1002.71,10210.44,51527.078,2281.3101,6155.8101,1458.624,436.20999,45.450001,8778.7598,57.290001,3221.1399,60.86,27.10622,4.20738
2015-09-14,PSECZ:PX,1001.21,1003.25,994.5,1000.9,10131.74,51484.621,2261.3701,6084.5898,1436.118,427.88,44.68,8686.1699,56.82,3175.6201,59.85,27.09192,4.20145
2015-09-15,PSECZ:PX,1000.92,1001.3,994.34998,1001.3,10188.13,51484.93,2272.3501,6137.6001,1440.579,432.14999,45.16,8790.4404,56.82,3207.6001,60.73,27.10728,4.20346
2015-09-16,PSECZ:PX,1001.3,1007.0,998.22998,1002.3,10227.21,51532.648,2292.8,6229.21,1449.17,438.5,45.919998,8871.1699,56.740002,3251.79,60.65,27.10754,4.20582
2015-09-17,PSECZ:PX,1002.3,1010.94,999.23999,1009.49,10229.58,51801.578,2290.4299,6186.9902,1455.304,437.63,46.035,8849.4297,54.959999,3255.79,60.71,27.07156,4.20234
2015-09-21,PSECZ:PX,984.54999,989.41998,979.15997,983.59998,9948.51,51499.879,2244.9299,6108.71,1426.5439,432.79999,45.310001,8782.2695,55.240002,3184.72,61.82,27.10459,4.20372
2015-09-22,PSECZ:PX,983.57001,986.75,966.29999,967.78003,9570.66,50713.828,2200.0901,5935.8398,1383.4399,419.98001,43.779999,8475.4697,55.48,3076.05,60.97,27.18985,4.22218
